เขต,ชื่อชุมชน,ชื่อ-นามสกุล,บทบาท,เบอร์โทร,โควต้าชาวบ้าน
1,ชุมชนเขต1-01,,ประธาน,,50
1,ชุมชนเขต1-01,,ทีมงาน,,50
1,ชุมชนเขต1-01,,ทีมงาน,,50
1,ชุมชนเขต1-01,,ทีมงาน,,50
1,ชุมชนเขต1-01,,ทีมงาน,,50
1,ชุมชนเขต1-01,,ทีมงาน,,50
1,ชุมชนเขต1-01,,ทีมงาน,,50
1,ชุมชนเขต1-01,,ทีมงาน,,50
1,ชุมชนเขต1-01,,ทีมงาน,,50
1,ชุมชนเขต1-01,,ทีมงาน,,50
1,ชุมชนเขต1-02,,ประธาน,,50
1,ชุมชนเขต1-02,,ทีมงาน,,50
1,ชุมชนเขต1-02,,ทีมงาน,,50
1,ชุมชนเขต1-02,,ทีมงาน,,50
1,ชุมชนเขต1-02,,ทีมงาน,,50
1,ชุมชนเขต1-02,,ทีมงาน,,50
1,ชุมชนเขต1-02,,ทีมงาน,,50
1,ชุมชนเขต1-02,,ทีมงาน,,50
1,ชุมชนเขต1-02,,ทีมงาน,,50
1,ชุมชนเขต1-02,,ทีมงาน,,50
1,ชุมชนเขต1-03,,ประธาน,,50
1,ชุมชนเขต1-03,,ทีมงาน,,50
1,ชุมชนเขต1-03,,ทีมงาน,,50
1,ชุมชนเขต1-03,,ทีมงาน,,50
1,ชุมชนเขต1-03,,ทีมงาน,,50
1,ชุมชนเขต1-03,,ทีมงาน,,50
1,ชุมชนเขต1-03,,ทีมงาน,,50
1,ชุมชนเขต1-03,,ทีมงาน,,50
1,ชุมชนเขต1-03,,ทีมงาน,,50
1,ชุมชนเขต1-03,,ทีมงาน,,50
1,ชุมชนเขต1-04,,ประธาน,,50
1,ชุมชนเขต1-04,,ทีมงาน,,50
1,ชุมชนเขต1-04,,ทีมงาน,,50
1,ชุมชนเขต1-04,,ทีมงาน,,50
1,ชุมชนเขต1-04,,ทีมงาน,,50
1,ชุมชนเขต1-04,,ทีมงาน,,50
1,ชุมชนเขต1-04,,ทีมงาน,,50
1,ชุมชนเขต1-04,,ทีมงาน,,50
1,ชุมชนเขต1-04,,ทีมงาน,,50
1,ชุมชนเขต1-04,,ทีมงาน,,50
1,ชุมชนเขต1-05,,ประธาน,,50
1,ชุมชนเขต1-05,,ทีมงาน,,50
1,ชุมชนเขต1-05,,ทีมงาน,,50
1,ชุมชนเขต1-05,,ทีมงาน,,50
1,ชุมชนเขต1-05,,ทีมงาน,,50
1,ชุมชนเขต1-05,,ทีมงาน,,50
1,ชุมชนเขต1-05,,ทีมงาน,,50
1,ชุมชนเขต1-05,,ทีมงาน,,50
1,ชุมชนเขต1-05,,ทีมงาน,,50
1,ชุมชนเขต1-05,,ทีมงาน,,50
1,ชุมชนเขต1-06,,ประธาน,,50
1,ชุมชนเขต1-06,,ทีมงาน,,50
1,ชุมชนเขต1-06,,ทีมงาน,,50
1,ชุมชนเขต1-06,,ทีมงาน,,50
1,ชุมชนเขต1-06,,ทีมงาน,,50
1,ชุมชนเขต1-06,,ทีมงาน,,50
1,ชุมชนเขต1-06,,ทีมงาน,,50
1,ชุมชนเขต1-06,,ทีมงาน,,50
1,ชุมชนเขต1-06,,ทีมงาน,,50
1,ชุมชนเขต1-06,,ทีมงาน,,50
1,ชุมชนเขต1-07,,ประธาน,,50
1,ชุมชนเขต1-07,,ทีมงาน,,50
1,ชุมชนเขต1-07,,ทีมงาน,,50
1,ชุมชนเขต1-07,,ทีมงาน,,50
1,ชุมชนเขต1-07,,ทีมงาน,,50
1,ชุมชนเขต1-07,,ทีมงาน,,50
1,ชุมชนเขต1-07,,ทีมงาน,,50
1,ชุมชนเขต1-07,,ทีมงาน,,50
1,ชุมชนเขต1-07,,ทีมงาน,,50
1,ชุมชนเขต1-07,,ทีมงาน,,50
1,ชุมชนเขต1-08,,ประธาน,,50
1,ชุมชนเขต1-08,,ทีมงาน,,50
1,ชุมชนเขต1-08,,ทีมงาน,,50
1,ชุมชนเขต1-08,,ทีมงาน,,50
1,ชุมชนเขต1-08,,ทีมงาน,,50
1,ชุมชนเขต1-08,,ทีมงาน,,50
1,ชุมชนเขต1-08,,ทีมงาน,,50
1,ชุมชนเขต1-08,,ทีมงาน,,50
1,ชุมชนเขต1-08,,ทีมงาน,,50
1,ชุมชนเขต1-08,,ทีมงาน,,50
1,ชุมชนเขต1-09,,ประธาน,,50
1,ชุมชนเขต1-09,,ทีมงาน,,50
1,ชุมชนเขต1-09,,ทีมงาน,,50
1,ชุมชนเขต1-09,,ทีมงาน,,50
1,ชุมชนเขต1-09,,ทีมงาน,,50
1,ชุมชนเขต1-09,,ทีมงาน,,50
1,ชุมชนเขต1-09,,ทีมงาน,,50
1,ชุมชนเขต1-09,,ทีมงาน,,50
1,ชุมชนเขต1-09,,ทีมงาน,,50
1,ชุมชนเขต1-09,,ทีมงาน,,50
1,ชุมชนเขต1-10,,ประธาน,,50
1,ชุมชนเขต1-10,,ทีมงาน,,50
1,ชุมชนเขต1-10,,ทีมงาน,,50
1,ชุมชนเขต1-10,,ทีมงาน,,50
1,ชุมชนเขต1-10,,ทีมงาน,,50
1,ชุมชนเขต1-10,,ทีมงาน,,50
1,ชุมชนเขต1-10,,ทีมงาน,,50
1,ชุมชนเขต1-10,,ทีมงาน,,50
1,ชุมชนเขต1-10,,ทีมงาน,,50
1,ชุมชนเขต1-10,,ทีมงาน,,50
1,ชุมชนเขต1-11,,ประธาน,,50
1,ชุมชนเขต1-11,,ทีมงาน,,50
1,ชุมชนเขต1-11,,ทีมงาน,,50
1,ชุมชนเขต1-11,,ทีมงาน,,50
1,ชุมชนเขต1-11,,ทีมงาน,,50
1,ชุมชนเขต1-11,,ทีมงาน,,50
1,ชุมชนเขต1-11,,ทีมงาน,,50
1,ชุมชนเขต1-11,,ทีมงาน,,50
1,ชุมชนเขต1-11,,ทีมงาน,,50
1,ชุมชนเขต1-11,,ทีมงาน,,50
1,ชุมชนเขต1-12,,ประธาน,,50
1,ชุมชนเขต1-12,,ทีมงาน,,50
1,ชุมชนเขต1-12,,ทีมงาน,,50
1,ชุมชนเขต1-12,,ทีมงาน,,50
1,ชุมชนเขต1-12,,ทีมงาน,,50
1,ชุมชนเขต1-12,,ทีมงาน,,50
1,ชุมชนเขต1-12,,ทีมงาน,,50
1,ชุมชนเขต1-12,,ทีมงาน,,50
1,ชุมชนเขต1-12,,ทีมงาน,,50
1,ชุมชนเขต1-12,,ทีมงาน,,50
1,ชุมชนเขต1-13,,ประธาน,,50
1,ชุมชนเขต1-13,,ทีมงาน,,50
1,ชุมชนเขต1-13,,ทีมงาน,,50
1,ชุมชนเขต1-13,,ทีมงาน,,50
1,ชุมชนเขต1-13,,ทีมงาน,,50
1,ชุมชนเขต1-13,,ทีมงาน,,50
1,ชุมชนเขต1-13,,ทีมงาน,,50
1,ชุมชนเขต1-13,,ทีมงาน,,50
1,ชุมชนเขต1-13,,ทีมงาน,,50
1,ชุมชนเขต1-13,,ทีมงาน,,50
1,ชุมชนเขต1-14,,ประธาน,,50
1,ชุมชนเขต1-14,,ทีมงาน,,50
1,ชุมชนเขต1-14,,ทีมงาน,,50
1,ชุมชนเขต1-14,,ทีมงาน,,50
1,ชุมชนเขต1-14,,ทีมงาน,,50
1,ชุมชนเขต1-14,,ทีมงาน,,50
1,ชุมชนเขต1-14,,ทีมงาน,,50
1,ชุมชนเขต1-14,,ทีมงาน,,50
1,ชุมชนเขต1-14,,ทีมงาน,,50
1,ชุมชนเขต1-14,,ทีมงาน,,50
1,ชุมชนเขต1-15,,ประธาน,,50
1,ชุมชนเขต1-15,,ทีมงาน,,50
1,ชุมชนเขต1-15,,ทีมงาน,,50
1,ชุมชนเขต1-15,,ทีมงาน,,50
1,ชุมชนเขต1-15,,ทีมงาน,,50
1,ชุมชนเขต1-15,,ทีมงาน,,50
1,ชุมชนเขต1-15,,ทีมงาน,,50
1,ชุมชนเขต1-15,,ทีมงาน,,50
1,ชุมชนเขต1-15,,ทีมงาน,,50
1,ชุมชนเขต1-15,,ทีมงาน,,50
1,ชุมชนเขต1-16,,ประธาน,,50
1,ชุมชนเขต1-16,,ทีมงาน,,50
1,ชุมชนเขต1-16,,ทีมงาน,,50
1,ชุมชนเขต1-16,,ทีมงาน,,50
1,ชุมชนเขต1-16,,ทีมงาน,,50
1,ชุมชนเขต1-16,,ทีมงาน,,50
1,ชุมชนเขต1-16,,ทีมงาน,,50
1,ชุมชนเขต1-16,,ทีมงาน,,50
1,ชุมชนเขต1-16,,ทีมงาน,,50
1,ชุมชนเขต1-16,,ทีมงาน,,50
1,ชุมชนเขต1-17,,ประธาน,,50
1,ชุมชนเขต1-17,,ทีมงาน,,50
1,ชุมชนเขต1-17,,ทีมงาน,,50
1,ชุมชนเขต1-17,,ทีมงาน,,50
1,ชุมชนเขต1-17,,ทีมงาน,,50
1,ชุมชนเขต1-17,,ทีมงาน,,50
1,ชุมชนเขต1-17,,ทีมงาน,,50
1,ชุมชนเขต1-17,,ทีมงาน,,50
1,ชุมชนเขต1-17,,ทีมงาน,,50
1,ชุมชนเขต1-17,,ทีมงาน,,50
1,ชุมชนเขต1-18,,ประธาน,,50
1,ชุมชนเขต1-18,,ทีมงาน,,50
1,ชุมชนเขต1-18,,ทีมงาน,,50
1,ชุมชนเขต1-18,,ทีมงาน,,50
1,ชุมชนเขต1-18,,ทีมงาน,,50
1,ชุมชนเขต1-18,,ทีมงาน,,50
1,ชุมชนเขต1-18,,ทีมงาน,,50
1,ชุมชนเขต1-18,,ทีมงาน,,50
1,ชุมชนเขต1-18,,ทีมงาน,,50
1,ชุมชนเขต1-18,,ทีมงาน,,50
1,ชุมชนเขต1-19,,ประธาน,,50
1,ชุมชนเขต1-19,,ทีมงาน,,50
1,ชุมชนเขต1-19,,ทีมงาน,,50
1,ชุมชนเขต1-19,,ทีมงาน,,50
1,ชุมชนเขต1-19,,ทีมงาน,,50
1,ชุมชนเขต1-19,,ทีมงาน,,50
1,ชุมชนเขต1-19,,ทีมงาน,,50
1,ชุมชนเขต1-19,,ทีมงาน,,50
1,ชุมชนเขต1-19,,ทีมงาน,,50
1,ชุมชนเขต1-19,,ทีมงาน,,50
1,ชุมชนเขต1-20,,ประธาน,,50
1,ชุมชนเขต1-20,,ทีมงาน,,50
1,ชุมชนเขต1-20,,ทีมงาน,,50
1,ชุมชนเขต1-20,,ทีมงาน,,50
1,ชุมชนเขต1-20,,ทีมงาน,,50
1,ชุมชนเขต1-20,,ทีมงาน,,50
1,ชุมชนเขต1-20,,ทีมงาน,,50
1,ชุมชนเขต1-20,,ทีมงาน,,50
1,ชุมชนเขต1-20,,ทีมงาน,,50
1,ชุมชนเขต1-20,,ทีมงาน,,50
1,ชุมชนเขต1-21,,ประธาน,,50
1,ชุมชนเขต1-21,,ทีมงาน,,50
1,ชุมชนเขต1-21,,ทีมงาน,,50
